chr,chromStart,chromEnd,peak_length,strand,ModLog2FC_treated,ModLog2FC_control,DiffModLog2FC,pvalue,padj,Annotation,transcriptID,geneID,gene_chr,gene_start,gene_end,geneName,Description,GO,KEGG
NC_051371.1,9193305,9195673,2369,+,0.97,0.75,0.22,0.00,0.00,UTR3,NM_001044043.1,693058,NC_051371.1,9191576,9195679,RpS16,ribosomal protein S16 [Bombyx mori],"GO:0000462(maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA));GO:0002181(cytoplasmic translation);GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome);GO:0005840(ribosome);GO:0006412(translation);GO:0015935(small ribosomal subunit);GO:0022626(cytosolic ribosome);GO:0022627(cytosolic small ribosomal subunit)",03010(Ribosome)
NC_051371.1,9585419,9585771,353,+,2.29,2.74,-0.45,0.00,0.00,exonic,NM_001099846.1,100101223,NC_051371.1,9585420,9586534,LOC100101223,adiponectin receptor [Bombyx mori],GO:0005886(plasma membrane);GO:0033211(adiponectin-activated signaling pathway);GO:0042562(hormone binding),NA
NC_051371.1,9865107,10207120,342014,+,3.59,5.72,-2.12,0.01,0.07,UTR5,XM_012689766.3,101743927,NC_051371.1,9865008,10366443,LOC101743927,NA,GO:0005515(protein binding);GO:0005737(cytoplasm);GO:0006417(regulation of translation);GO:0006909(phagocytosis);GO:0007400(neuroblast fate determination);GO:0007402(ganglion mother cell fate determination);GO:0007405(neuroblast proliferation);GO:0007406(negative regulation of neuroblast proliferation);GO:0007411(axon guidance);GO:0007419(ventral cord development);GO:0007420(brain development);GO:0008270(zinc ion binding);GO:0008285(negative regulation of cell proliferation);GO:0008356(asymmetric cell division);GO:0008582(regulation of synaptic growth at neuromuscular junction);GO:0009303(rRNA transcription);GO:0014019(neuroblast development);GO:0030182(neuron differentiation);GO:0030371(translation repressor activity);GO:0035282(segmentation);GO:0043025(neuronal cell body);GO:0045179(apical cortex);GO:0045180(basal cortex);GO:0045182(translation regulator activity);GO:0048477(oogenesis);GO:0050767(regulation of neurogenesis);GO:0055060(asymmetric neuroblast division resulting in ganglion mother cell formation);GO:1900242(regulation of synaptic vesicle endocytosis);GO:1902692(regulation of neuroblast proliferation),NA
NC_051371.1,10461330,10469970,8641,+,2.83,3.27,-0.44,0.00,0.00,UTR3,XM_012691538.3,101742889,NC_051371.1,10446135,10470809,LOC101742889,probable nucleoporin Nup58 isoform X3 [Bombyx mori],GO:0005643(nuclear pore);GO:0006606(protein import into nucleus);GO:0008139(nuclear localization sequence binding),03013(RNA transport)
NC_051371.1,10555087,10555737,651,+,3.80,1.30,2.50,0.00,0.03,ncRNA_exonic,XR_005245439.1,105842632,NC_051371.1,10553838,10557839,LOC105842632,uncharacterized protein LOC105842632 [Bombyx mori],NA,NA
NC_051371.1,10804716,10806513,1798,+,2.23,2.66,-0.43,0.03,0.15,UTR5,XM_004923735.4,101736033,NC_051371.1,10804717,10813096,LOC101736033,ataxin-10 [Bombyx mori],GO:0003674(molecular_function);GO:0005737(cytoplasm),NA
NC_051371.1,10808264,10812881,4618,+,2.43,2.16,0.28,0.02,0.12,exonic,XM_004923735.4,101736033,NC_051371.1,10804717,10813096,LOC101736033,ataxin-10 [Bombyx mori],GO:0003674(molecular_function);GO:0005737(cytoplasm),NA
NC_051371.1,10814187,10815446,1260,+,1.34,1.61,-0.27,0.01,0.06,UTR3,XM_004923736.4,101736170,NC_051371.1,10814063,10815446,LOC101736170,UPF0587 protein GA18326 [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051371.1,11019115,11019969,855,+,0.92,1.87,-0.95,0.02,0.10,UTR5,XM_038015459.1,101736791,NC_051371.1,11019066,11037834,LOC101736791,"DNA polymerase subunit gamma-1, mitochondrial [Bombyx mandarina]",GO:0003887(DNA-directed DNA polymerase activity);GO:0005739(mitochondrion);GO:0006264(mitochondrial DNA replication);GO:0008408(3'-5' exonuclease activity),NA
NC_051371.1,11028220,11029713,1494,+,-0.69,1.61,-2.30,0.01,0.06,exonic,XM_038015459.1,101736791,NC_051371.1,11019066,11037834,LOC101736791,"DNA polymerase subunit gamma-1, mitochondrial [Bombyx mandarina]",GO:0003887(DNA-directed DNA polymerase activity);GO:0005739(mitochondrion);GO:0006264(mitochondrial DNA replication);GO:0008408(3'-5' exonuclease activity),NA
NC_051371.1,11889682,11890132,451,+,1.56,3.71,-2.15,0.02,0.10,exonic,XM_038015409.1,119629488,NC_051371.1,11888858,11890898,LOC119629488,uncharacterized protein LOC111000261 [Pieris rapae],NA,NA
NC_051371.1,11901009,11914931,13923,+,2.91,3.54,-0.63,0.02,0.10,UTR3,XM_038015411.1,101743211,NC_051371.1,11893979,11915229,LOC101743211,yemanuclein isoform X1 [Bombyx mandarina],NA,NA
NC_051371.1,12420892,12422926,2035,+,2.37,3.17,-0.80,0.00,0.00,UTR5,XM_004923758.4,101738924,NC_051371.1,12420768,12426501,LOC101738924,immunoglobulin domain and leucine-rich repeat-containing protein 2-like [Bombyx mandarina],GO:0004860(protein kinase inhibitor activity);GO:0005737(cytoplasm);GO:0006469(negative regulation of protein kinase activity);GO:0019221(cytokine-mediated signaling pathway);GO:0046426(negative regulation of JAK-STAT cascade),NA
NC_051371.1,12423226,12423976,751,+,0.96,1.37,-0.41,0.00,0.01,exonic,XM_004923758.4,101738924,NC_051371.1,12420768,12426501,LOC101738924,immunoglobulin domain and leucine-rich repeat-containing protein 2-like [Bombyx mandarina],GO:0004860(protein kinase inhibitor activity);GO:0005737(cytoplasm);GO:0006469(negative regulation of protein kinase activity);GO:0019221(cytokine-mediated signaling pathway);GO:0046426(negative regulation of JAK-STAT cascade),NA
NC_051371.1,12424151,12426501,2351,+,2.52,2.94,-0.42,0.00,0.00,UTR3,XM_004923758.4,101738924,NC_051371.1,12420768,12426501,LOC101738924,immunoglobulin domain and leucine-rich repeat-containing protein 2-like [Bombyx mandarina],GO:0004860(protein kinase inhibitor activity);GO:0005737(cytoplasm);GO:0006469(negative regulation of protein kinase activity);GO:0019221(cytokine-mediated signaling pathway);GO:0046426(negative regulation of JAK-STAT cascade),NA
NC_051371.1,12471959,12489550,17592,+,2.79,3.05,-0.26,0.05,0.20,UTR3,XM_038015221.1,101744068,NC_051371.1,12469400,12490859,LOC101744068,LOW QUALITY PROTEIN: pre-mRNA cleavage complex 2 protein Pcf11 [Bombyx mandarina],GO:0000993(RNA polymerase II core binding);GO:0003729(mRNA binding);GO:0005737(cytoplasm);GO:0005849(mRNA cleavage factor complex);GO:0006369(termination of RNA polymerase II transcription);GO:0006378(mRNA polyadenylation);GO:0006379(mRNA cleavage),03015(mRNA surveillance pathway)
NC_051371.1,12490525,12490850,326,+,1.22,2.60,-1.38,0.03,0.14,UTR3,XM_038015221.1,101744068,NC_051371.1,12469400,12490859,LOC101744068,LOW QUALITY PROTEIN: pre-mRNA cleavage complex 2 protein Pcf11 [Bombyx mandarina],GO:0000993(RNA polymerase II core binding);GO:0003729(mRNA binding);GO:0005737(cytoplasm);GO:0005849(mRNA cleavage factor complex);GO:0006369(termination of RNA polymerase II transcription);GO:0006378(mRNA polyadenylation);GO:0006379(mRNA cleavage),03015(mRNA surveillance pathway)
NC_051371.1,13216574,13219563,2990,+,2.26,2.91,-0.65,0.00,0.02,UTR3,XM_004923768.3,101740535,NC_051371.1,13212695,13219563,LOC101740535,eukaryotic translation initiation factor 2D isoform X2 [Bombyx mori],GO:0003743(translation initiation factor activity);GO:0005737(cytoplasm);GO:0006413(translational initiation),NA
NC_051371.1,13272741,13273562,822,+,1.39,0.88,0.52,0.00,0.04,UTR3,NM_001046760.1,692917,NC_051371.1,13268654,13273562,LOC692917,vacuolar protein sorting 26 isoform X1 [Bombyx mori],GO:0005768(endosome);GO:0006886(intracellular protein transport),NA
NC_051371.1,13308679,13309490,812,+,2.68,4.00,-1.32,0.00,0.00,UTR3,XM_038015263.1,110384806,NC_051371.1,13289573,13309490,LOC110384806,transmembrane protein 131 [Bombyx mandarina],GO:0016020(membrane),NA
NC_051371.1,297145,298289,1145,-,0.45,2.30,-1.85,0.02,0.13,UTR3,XM_038015308.1,101736666,NC_051371.1,297146,331640,LOC101736666,protein cramped isoform X5 [Bombyx mandarina],"GO:0005634(nucleus);GO:0007379(segment specification);GO:0003677(DNA binding);GO:0003682(chromatin binding);GO:0006355(regulation of transcription, DNA-templated)",NA
NC_051371.1,308407,312326,3920,-,3.63,1.26,2.37,0.01,0.07,exonic,XM_038015308.1,101736666,NC_051371.1,297146,331640,LOC101736666,protein cramped isoform X5 [Bombyx mandarina],"GO:0005634(nucleus);GO:0007379(segment specification);GO:0003677(DNA binding);GO:0003682(chromatin binding);GO:0006355(regulation of transcription, DNA-templated)",NA
NC_051371.1,416115,416715,601,-,3.41,4.10,-0.69,0.00,0.03,ncRNA_exonic,XR_002431680.2,110386515,NC_051371.1,415766,419226,LOC110386515,PREDICTED: uncharacterized protein LOC106718201 [Papilio machaon],NA,NA
NC_051371.1,1588718,1631886,43169,-,3.18,3.61,-0.42,0.02,0.12,UTR5,XM_038015543.1,101740041,NC_051371.1,1569332,1631886,LOC101740041,rho GTPase-activating protein 26 [Bombyx mori],GO:0005096(GTPase activator activity);GO:0005543(phospholipid binding);GO:0007165(signal transduction);GO:0030036(actin cytoskeleton organization);GO:0043547(positive regulation of GTPase activity);GO:0051056(regulation of small GTPase mediated signal transduction),NA
NC_051371.1,1633429,1636004,2576,-,2.13,2.59,-0.47,0.00,0.01,UTR3,XM_004922762.4,101746034,NC_051371.1,1633430,1638355,LOC101746034,zinc finger protein 330 homolog [Bombyx mori],"GO:0000775(chromosome, centromeric region);GO:0005730(nucleolus);GO:0008270(zinc ion binding);GO:0030496(midbody);GO:0035167(larval lymph gland hemopoiesis)",NA
NC_051371.1,1935415,1935690,276,-,0.34,1.50,-1.16,0.00,0.03,UTR3,XM_004922769.4,101746972,NC_051371.1,1935416,1939668,LOC101746972,host cell factor 1 [Bombyx mori],GO:0005654(nucleoplasm);GO:0005739(mitochondrion),NA
NC_051371.1,1937265,1937540,276,-,0.69,1.25,-0.56,0.01,0.05,exonic,XM_004922769.4,101746972,NC_051371.1,1935416,1939668,LOC101746972,host cell factor 1 [Bombyx mori],GO:0005654(nucleoplasm);GO:0005739(mitochondrion),NA
NC_051371.1,2268612,2270119,1508,-,4.56,5.47,-0.92,0.01,0.07,UTR3,XM_012697215.3,101740850,NC_051371.1,2268613,2283565,LOC101740850,uncharacterized protein LOC114247010 isoform X2 [Bombyx mandarina],NA,NA
NC_051371.1,2272775,2282150,9376,-,2.34,3.18,-0.84,0.00,0.00,exonic,XM_012697215.3,101740850,NC_051371.1,2268613,2283565,LOC101740850,uncharacterized protein LOC114247010 isoform X2 [Bombyx mandarina],NA,NA
NC_051371.1,2289031,2289903,873,-,-0.58,2.07,-2.65,0.00,0.01,UTR3,XM_038015489.1,101737468,NC_051371.1,2288982,2300144,LOC101737468,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase [Bombyx mori]","GO:0004377(GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity);GO:0005789(endoplasmic reticulum membrane);GO:0006490(oligosaccharide-lipid intermediate biosynthetic process);GO:0016757(transferase activity, transferring glycosyl groups);GO:0033577(protein glycosylation in endoplasmic reticulum)",00510(N-Glycan biosynthesis);00513(Various types of N-glycan biosynthesis);01100(Metabolic pathways)
NC_051371.1,2502039,2509152,7114,-,2.67,3.40,-0.72,0.00,0.00,UTR5,XM_004922774.4,101735776,NC_051371.1,2501665,2509156,LOC101735776,AN1-type zinc finger protein 2A [Bombyx mori],GO:0008270(zinc ion binding),NA
NC_051371.1,3982377,4088108,105732,-,0.82,2.11,-1.29,0.00,0.00,exonic,XM_012697209.3,101743013,NC_051371.1,3970801,4149006,LOC101743013,uncharacterized protein LOC114253403 isoform X2 [Bombyx mandarina],GO:0005654(nucleoplasm);GO:0005829(cytosol);GO:0006929(substrate-dependent cell migration);GO:0016322(neuron remodeling);GO:0043005(neuron projection);GO:0046875(ephrin receptor binding);GO:0048013(ephrin receptor signaling pathway);GO:1901187(regulation of ephrin receptor signaling pathway);GO:2000059(negative regulation of ubiquitin-dependent protein catabolic process),NA
NC_051371.1,4419084,4422832,3749,-,1.03,1.97,-0.94,0.00,0.02,exonic,XM_004927245.4,101744898,NC_051371.1,4418810,4425095,LOC101744898,tetratricopeptide repeat protein 5 [Bombyx mori],GO:0003677(DNA binding);GO:0003682(chromatin binding);GO:0005515(protein binding);GO:0005654(nucleoplasm);GO:0005737(cytoplasm);GO:0006281(DNA repair);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:1901796(regulation of signal transduction by p53 class mediator),NA
NC_051371.1,4423080,4424976,1897,-,-0.12,1.72,-1.83,0.00,0.02,UTR5,XM_004927245.4,101744898,NC_051371.1,4418810,4425095,LOC101744898,tetratricopeptide repeat protein 5 [Bombyx mori],GO:0003677(DNA binding);GO:0003682(chromatin binding);GO:0005515(protein binding);GO:0005654(nucleoplasm);GO:0005737(cytoplasm);GO:0006281(DNA repair);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:1901796(regulation of signal transduction by p53 class mediator),NA
NC_051371.1,4658965,4672151,13187,-,0.39,1.91,-1.53,0.00,0.00,UTR5,XM_012691332.3,101745477,NC_051371.1,4629121,4673274,LOC101745477,protein mini spindles isoform X1 [Bombyx mandarina],GO:0000022(mitotic spindle elongation);GO:0000132(establishment of mitotic spindle orientation);GO:0000278(mitotic cell cycle);GO:0000776(kinetochore);GO:0000922(spindle pole);GO:0005515(protein binding);GO:0005813(centrosome);GO:0005875(microtubule associated complex);GO:0007017(microtubule-based process);GO:0007029(endoplasmic reticulum organization);GO:0007051(spindle organization);GO:0007143(female meiotic nuclear division);GO:0007344(pronuclear fusion);GO:0007411(axon guidance);GO:0008017(microtubule binding);GO:0015631(tubulin binding);GO:0016325(oocyte microtubule cytoskeleton organization);GO:0030951(establishment or maintenance of microtubule cytoskeleton polarity);GO:0031122(cytoplasmic microtubule organization);GO:0035371(microtubule plus-end);GO:0045196(establishment or maintenance of neuroblast polarity);GO:0045450(bicoid mRNA localization);GO:0046785(microtubule polymerization);GO:0048477(oogenesis);GO:0051010(microtubule plus-end binding);GO:0051298(centrosome duplication);GO:0090063(positive regulation of microtubule nucleation),NA
NC_051371.1,5045732,5045882,151,-,1.03,0.87,0.16,0.00,0.01,UTR3,NM_001173367.1,692892,NC_051371.1,5045733,5056336,LOC692892,nucleosome assembly protein isoform X2 [Bombyx mori],GO:0003674(molecular_function);GO:0005634(nucleus);GO:0006334(nucleosome assembly),NA
NC_051371.1,5048361,5049733,1373,-,1.25,1.20,0.06,0.03,0.15,exonic,NM_001046736.1,692892,NC_051371.1,5045733,5056336,LOC692892,nucleosome assembly protein isoform X2 [Bombyx mori],GO:0003674(molecular_function);GO:0005634(nucleus);GO:0006334(nucleosome assembly),NA
NC_051371.1,5050197,5050679,483,-,1.05,0.95,0.10,0.00,0.04,exonic,NM_001046736.1,692892,NC_051371.1,5045733,5056336,LOC692892,nucleosome assembly protein isoform X2 [Bombyx mori],GO:0003674(molecular_function);GO:0005634(nucleus);GO:0006334(nucleosome assembly),NA
NC_051371.1,5517485,5517710,226,-,0.46,1.88,-1.42,0.00,0.00,UTR3,XM_004922583.4,101738328,NC_051371.1,5517486,5631023,LOC101738328,"LOW QUALITY PROTEIN: N-alpha-acetyltransferase 15, NatA auxiliary subunit [Bombyx mori]",GO:0004596(peptide alpha-N-acetyltransferase activity);GO:0005737(cytoplasm);GO:0017196(N-terminal peptidyl-methionine acetylation);GO:0031248(protein acetyltransferase complex);GO:0031415(NatA complex),NA
NC_051371.1,5965438,5991462,26025,-,1.48,3.88,-2.40,0.00,0.01,UTR3,XM_004922591.3,101739714,NC_051371.1,5962614,5991840,LOC101739714,uncharacterized protein LOC101739714 [Bombyx mori],NA,NA
NC_051371.1,6434272,6434397,126,-,0.22,2.78,-2.57,0.00,0.04,UTR3,XM_021352065.1,101740712,NC_051371.1,6429221,6448634,LOC101740712,probable protein phosphatase 2C T23F11.1 isoform X2 [Bombyx mori],GO:0004721(phosphoprotein phosphatase activity);GO:0004722(protein serine/threonine phosphatase activity);GO:0005829(cytosol);GO:0006470(protein dephosphorylation);GO:0043169(cation binding),NA
NC_051371.1,6827267,6833830,6564,-,-3.34,1.99,-5.33,0.01,0.09,exonic,XM_038015236.1,101735725,NC_051371.1,6819532,6895882,LOC101735725,myotubularin-related protein 5 [Bombyx mandarina],"GO:0000123(histone acetyltransferase complex);GO:0000278(mitotic cell cycle);GO:0003682(chromatin binding);GO:0004402(histone acetyltransferase activity);GO:0004725(protein tyrosine phosphatase activity);GO:0005634(nucleus);GO:0005700(polytene chromosome);GO:0005938(cell cortex);GO:0008023(transcription elongation factor complex);GO:0016573(histone acetylation);GO:0017112(Rab guanyl-nucleotide exchange factor activity);GO:0017137(Rab GTPase binding);GO:0019902(phosphatase binding);GO:0030674(protein binding, bridging);GO:0030866(cortical actin cytoskeleton organization);GO:0031201(SNARE complex);GO:0032456(endocytic recycling);GO:0032483(regulation of Rab protein signal transduction);GO:0032968(positive regulation of transcription elongation from RNA polymerase II promoter);GO:0035097(histone methyltransferase complex);GO:0036313(phosphatidylinositol 3-kinase catalytic subunit binding);GO:0042800(histone methyltransferase activity (H3-K4 specific));GO:0051568(histone H3-K4 methylation);GO:0055037(recycling endosome);GO:1901098(positive regulation of autophagosome maturation)",NA
NC_051371.1,6866772,6867795,1024,-,-2.90,1.52,-4.42,0.04,0.18,exonic,XM_038015236.1,101735725,NC_051371.1,6819532,6895882,LOC101735725,myotubularin-related protein 5 [Bombyx mandarina],"GO:0000123(histone acetyltransferase complex);GO:0000278(mitotic cell cycle);GO:0003682(chromatin binding);GO:0004402(histone acetyltransferase activity);GO:0004725(protein tyrosine phosphatase activity);GO:0005634(nucleus);GO:0005700(polytene chromosome);GO:0005938(cell cortex);GO:0008023(transcription elongation factor complex);GO:0016573(histone acetylation);GO:0017112(Rab guanyl-nucleotide exchange factor activity);GO:0017137(Rab GTPase binding);GO:0019902(phosphatase binding);GO:0030674(protein binding, bridging);GO:0030866(cortical actin cytoskeleton organization);GO:0031201(SNARE complex);GO:0032456(endocytic recycling);GO:0032483(regulation of Rab protein signal transduction);GO:0032968(positive regulation of transcription elongation from RNA polymerase II promoter);GO:0035097(histone methyltransferase complex);GO:0036313(phosphatidylinositol 3-kinase catalytic subunit binding);GO:0042800(histone methyltransferase activity (H3-K4 specific));GO:0051568(histone H3-K4 methylation);GO:0055037(recycling endosome);GO:1901098(positive regulation of autophagosome maturation)",NA
NC_051371.1,6909241,6915140,5900,-,2.25,1.37,0.88,0.02,0.12,exonic,XM_038015230.1,101735857,NC_051371.1,6902384,6946708,LOC101735857,E3 ubiquitin-protein ligase UBR1 isoform X3 [Bombyx mandarina],GO:0000151(ubiquitin ligase complex);GO:0005737(cytoplasm);GO:0061630(ubiquitin protein ligase activity);GO:0071596(ubiquitin-dependent protein catabolic process via the N-end rule pathway),NA
NC_051371.1,6975216,6976310,1095,-,1.54,3.65,-2.11,0.04,0.18,UTR3,XM_021352143.2,101742817,NC_051371.1,6975217,6986779,LOC101742817,uncharacterized protein LOC101742817 [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051371.1,7052392,7052667,276,-,1.61,0.83,0.78,0.01,0.10,UTR3,XM_038015377.1,101736389,NC_051371.1,7050993,7059393,LOC101736389,toll-interacting protein-like [Bombyx mandarina],"GO:0005150(interleukin-1, Type I receptor binding);GO:0005515(protein binding);GO:0005737(cytoplasm);GO:0006511(ubiquitin-dependent protein catabolic process);GO:0006914(autophagy);GO:0006954(inflammatory response);GO:0007165(signal transduction);GO:0016310(phosphorylation);GO:0016604(nuclear body);GO:0019900(kinase binding);GO:0030855(epithelial cell differentiation);GO:0031624(ubiquitin conjugating enzyme binding);GO:0031625(ubiquitin protein ligase binding);GO:0032183(SUMO binding);GO:0033235(positive regulation of protein sumoylation);GO:0035325(Toll-like receptor binding);GO:0036010(protein localization to endosome);GO:0043130(ubiquitin binding);GO:0045087(innate immune response);GO:0048471(perinuclear region of cytoplasm);GO:0070062(extracellular exosome)",NA
NC_051371.1,7247869,7270433,22565,-,1.15,2.00,-0.84,0.04,0.17,UTR5,XM_004922623.4,101744019,NC_051371.1,7238703,7270613,LOC101744019,uncharacterized protein LOC101744019 isoform X2 [Bombyx mori],NA,NA
NC_051371.1,7419035,7419335,301,-,1.46,0.66,0.80,0.00,0.03,UTR3,XM_038015479.1,101744163,NC_051371.1,7419036,7493138,LOC101744163,uncharacterized protein LOC101744163 [Bombyx mori],NA,NA
NC_051371.1,7664253,7665738,1486,-,2.08,1.56,0.53,0.00,0.03,UTR5,NM_001279424.1,101744449,NC_051371.1,7656391,7665738,DnaJ-14,uncharacterized protein LOC101744449 isoform X2 [Bombyx mori],GO:0005113(patched binding);GO:0005524(ATP binding);GO:0005739(mitochondrion);GO:0005829(cytosol);GO:0006457(protein folding);GO:0007005(mitochondrion organization);GO:0007224(smoothened signaling pathway);GO:0009408(response to heat);GO:0030431(sleep);GO:0031072(heat shock protein binding);GO:0042981(regulation of apoptotic process);GO:0051082(unfolded protein binding),NA
NC_051371.1,7680300,7680700,401,-,2.72,2.80,-0.07,0.00,0.00,UTR3,NM_001043772.1,692704,NC_051371.1,7680301,7680830,RpL28,ribosomal protein L28 [Bombyx mori],GO:0002181(cytoplasmic translation);GO:0003735(structural constituent of ribosome);GO:0005840(ribosome);GO:0006412(translation);GO:0022625(cytosolic large ribosomal subunit),03010(Ribosome)
NC_051371.1,8063373,8063604,232,-,0.23,1.17,-0.94,0.00,0.04,exonic,XM_004922629.4,101744824,NC_051371.1,8044995,8064309,LOC101744824,RNA cytidine acetyltransferase [Bombyx mori],GO:0000049(tRNA binding);GO:0002101(tRNA wobble cytosine modification);GO:0005524(ATP binding);GO:0005730(nucleolus);GO:0009267(cellular response to starvation);GO:0016573(histone acetylation);GO:0030686(90S preribosome);GO:0051391(tRNA acetylation);GO:0051392(tRNA N-acetyltransferase activity);GO:1904812(rRNA acetylation involved in maturation of SSU-rRNA);GO:1990883(rRNA cytidine N-acetyltransferase activity),03008(Ribosome biogenesis in eukaryotes)
NC_051371.1,8918893,8918993,101,-,0.31,1.51,-1.20,0.03,0.14,UTR3,XM_004925352.4,101740584,NC_051371.1,8918544,8931576,LOC101740584,cleavage and polyadenylation specificity factor subunit CG7185 isoform X2 [Bombyx mori],"GO:0000381(regulation of alternative mRNA splicing, via spliceosome);GO:0003676(nucleic acid binding);GO:0003729(mRNA binding);GO:0005634(nucleus)",03015(mRNA surveillance pathway)
NC_051371.1,9204415,9284895,80481,-,2.50,3.01,-0.51,0.03,0.16,UTR5,XM_004925360.3,101741803,NC_051371.1,9199628,9284895,LOC101741803,"myosin light chain kinase, smooth muscle isoform X1 [Bombyx mori]",GO:0004672(protein kinase activity);GO:0004674(protein serine/threonine kinase activity);GO:0004687(myosin light chain kinase activity);GO:0005524(ATP binding);GO:0005622(intracellular);GO:0006468(protein phosphorylation);GO:0006914(autophagy);GO:0010906(regulation of glucose metabolic process);GO:0018105(peptidyl-serine phosphorylation);GO:0018107(peptidyl-threonine phosphorylation);GO:0032008(positive regulation of TOR signaling);GO:0046777(protein autophosphorylation),NA
NC_051371.1,9294928,9297295,2368,-,0.84,2.87,-2.02,0.00,0.04,UTR3,XM_038015290.1,101744219,NC_051371.1,9294929,9308573,LOC101744219,LARGE xylosyl- and glucuronyltransferase 1-like [Bombyx mandarina],"GO:0000139(Golgi membrane);GO:0003824(catalytic activity);GO:0005794(Golgi apparatus);GO:0006486(protein glycosylation);GO:0008152(metabolic process);GO:0015020(glucuronosyltransferase activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016740(transferase activity);GO:0016757(transferase activity, transferring glycosyl groups);GO:0035269(protein O-linked mannosylation);GO:0042285(xylosyltransferase activity);GO:0046872(metal ion binding)",00515(Mannose type O-glycan biosynthesis);01100(Metabolic pathways)
NC_051371.1,10713819,10724818,11000,-,2.35,3.00,-0.65,0.00,0.00,ncRNA_exonic,XR_005245452.1,110385599,NC_051371.1,10711720,10724849,LOC110385599,uncharacterized protein LOC113558325 [Rhopalosiphum maidis],GO:0004993(G-protein coupled serotonin receptor activity);GO:0007210(serotonin receptor signaling pathway),NA
NC_051371.1,10730719,10730844,126,-,0.48,1.71,-1.23,0.01,0.09,ncRNA_exonic,XR_005245453.1,101743478,NC_051371.1,10729347,10731729,LOC101743478,PREDICTED: uncharacterized protein LOC106137419 [Amyelois transitella],GO:0003676(nucleic acid binding);GO:0003677(DNA binding);GO:0005575(cellular_component);GO:0008150(biological_process);GO:0008270(zinc ion binding),NA
NC_051371.1,10768047,10793551,25505,-,2.13,3.60,-1.48,0.03,0.13,UTR5,XM_038015430.1,101735906,NC_051371.1,10745346,10793580,LOC101735906,E3 ubiquitin-protein ligase SH3RF1 isoform X2 [Bombyx mandarina],GO:0004842(ubiquitin-protein transferase activity);GO:0005829(cytosol);GO:0007390(germ-band shortening);GO:0007391(dorsal closure);GO:0008258(head involution);GO:0008270(zinc ion binding);GO:0008340(determination of adult lifespan);GO:0019901(protein kinase binding);GO:0022407(regulation of cell-cell adhesion);GO:0030159(receptor signaling complex scaffold activity);GO:0032494(response to peptidoglycan);GO:0045087(innate immune response);GO:0060548(negative regulation of cell death);GO:0061630(ubiquitin protein ligase activity),NA
NC_051371.1,11039149,11040099,951,-,3.54,3.89,-0.35,0.02,0.11,UTR3,XM_004923744.4,101737144,NC_051371.1,11039150,11042493,LOC101737144,speckle-type POZ protein-like [Bombyx mori],GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0019005(SCF ubiquitin ligase complex);GO:0030162(regulation of proteolysis);GO:0031625(ubiquitin protein ligase binding);GO:0043161(proteasome-mediated ubiquitin-dependent protein catabolic process),04341(Hedgehog signaling pathway - fly)
NC_051371.1,11040699,11041299,601,-,2.12,1.59,0.53,0.04,0.18,UTR3,XM_004923744.4,101737144,NC_051371.1,11039150,11042493,LOC101737144,speckle-type POZ protein-like [Bombyx mori],GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0019005(SCF ubiquitin ligase complex);GO:0030162(regulation of proteolysis);GO:0031625(ubiquitin protein ligase binding);GO:0043161(proteasome-mediated ubiquitin-dependent protein catabolic process),04341(Hedgehog signaling pathway - fly)
NC_051371.1,11315536,11315661,126,-,1.64,2.98,-1.34,0.02,0.11,UTR3,XM_004923747.4,101737570,NC_051371.1,11314987,11325629,LOC101737570,uncharacterized protein LOC101737570 isoform X2 [Bombyx mori],NA,NA
NC_051371.1,11556221,11556321,101,-,0.96,5.04,-4.07,0.02,0.12,UTR3,XM_004923782.4,101742773,NC_051371.1,11554972,11609744,LOC101742773,leucine-rich repeat-containing protein 24-like [Bombyx mandarina],GO:0005887(integral component of plasma membrane);GO:0042059(negative regulation of epidermal growth factor receptor signaling pathway);GO:0046331(lateral inhibition),NA
NC_051371.1,12057296,12164588,107293,-,3.15,4.22,-1.07,0.01,0.09,UTR5,XM_004923752.4,101738072,NC_051371.1,12002918,12164592,LOC101738072,uncharacterized protein LOC101738072 isoform X3 [Bombyx mori],NA,NA
NC_051371.1,12168562,12170137,1576,-,2.10,2.53,-0.43,0.00,0.03,UTR3,XM_021346389.2,101743492,NC_051371.1,12167366,12170140,LOC101743492,endoplasmic reticulum-Golgi intermediate compartment protein 2 [Bombyx mori],GO:0003674(molecular_function);GO:0006888(ER to Golgi vesicle-mediated transport);GO:0030134(COPII-coated ER to Golgi transport vesicle),NA
